gene_a,gene_b,relation,statement,kind,source,target,canonical,S,error_rate,binom_p,n,n_lowlow,n_lowhigh,n_highlow,n_highhigh,pearson_r
ITSN1,pERK,high=>high,ITSN1 high => pERK high,HH,ITSN1,pERK,ITSN1 high => pERK high,3.296653534768536,0.0,5.222279899864377e-06,53,32,3,0,18,0.8871122002601624
pCREB,RSK,high=>high,pCREB high => RSK high,HH,pCREB,RSK,pCREB high => RSK high,3.265986323710904,0.0,6.904468288213303e-06,54,16,2,0,36,0.8386917114257812
pAKT,RSK,high=>high,pAKT high => RSK high,HH,pAKT,RSK,pAKT high => RSK high,3.2417728034350137,0.0,8.609391753396614e-06,55,17,4,0,34,0.7876167893409729
IL1B,SNCA,high=>high,IL1B high => SNCA high,HH,IL1B,SNCA,IL1B high => SNCA high,3.2177956358676285,0.03851851851851852,1.5634746966295112e-05,55,24,4,1,26,0.6555479764938354
IL1B,pS6,high=>high,IL1B high => pS6 high,HH,IL1B,pS6,IL1B high => pS6 high,3.216471576888981,0.039230769230769236,1.4841680892435794e-05,53,24,3,1,25,0.7600976824760437
pAKT,CAMKII,high=>high,pAKT high => CAMKII high,HH,pAKT,CAMKII,pAKT high => CAMKII high,3.190896140869863,0.0,1.288353241136703e-05,55,16,4,0,35,0.7622104287147522
pBRAF,pJNK,high=>high,pBRAF high => pJNK high,HH,pBRAF,pJNK,pBRAF high => pJNK high,3.1876778887743105,0.0,1.5145185350734601e-05,62,15,5,0,42,0.8921653032302856
pAKT,pJNK,high=>high,pAKT high => pJNK high,HH,pAKT,pJNK,pAKT high => pJNK high,3.141125063837266,0.0,2.0821876639249093e-05,60,16,7,0,37,0.892415463924408
pMEK,CAMKII,high=>high,pMEK high => CAMKII high,HH,pMEK,CAMKII,pMEK high => CAMKII high,3.122498999199199,0.0,2.227038699358319e-05,56,14,3,0,39,0.7694956064224243
BDNF,PKCA,high=>high,BDNF high => PKCA high,HH,BDNF,PKCA,BDNF high => PKCA high,3.0962810792528397,0.04096989966555184,3.5743182331503736e-05,52,25,4,1,22,0.8180872797966003
pERK,CaNA,high=>high,pERK high => CaNA high,HH,pERK,CaNA,pERK high => CaNA high,3.0848130297590854,0.04285714285714286,3.5477410244932087e-05,49,27,2,1,19,0.639005720615387
MTOR,NR2B,high=>high,MTOR high => NR2B high,HH,MTOR,NR2B,MTOR high => NR2B high,3.069703067574602,0.0,3.054135648473548e-05,52,14,3,0,35,0.9091443419456482
BDNF,pNUMB,high=>high,BDNF high => pNUMB high,HH,BDNF,pNUMB,BDNF high => pNUMB high,3.0613146898785715,0.04096989966555184,4.7384487212840695e-05,53,25,5,1,22,0.5949573516845703
pMEK,JNK,high=>high,pMEK high => JNK high,HH,pMEK,JNK,pMEK high => JNK high,3.060612898634494,0.042877906976744186,5.692812919138363e-05,61,15,3,1,42,0.8234145045280457
ERBB4,pS6,high=>high,ERBB4 high => pS6 high,HH,ERBB4,pS6,ERBB4 high => pS6 high,3.058443106940361,0.04257246376811594,4.3113040372263006e-05,49,22,3,1,23,0.7711941599845886
pAKT,JNK,high=>high,pAKT high => JNK high,HH,pAKT,JNK,pAKT high => JNK high,3.04138126514911,0.0,4.335985009696222e-05,60,15,8,0,37,0.8105711936950684
pAKT,MEK,high=>high,pAKT high => MEK high,HH,pAKT,MEK,pAKT high => MEK high,3.0382181012509997,0.0,3.860654820734501e-05,52,15,5,0,32,0.7842019200325012
pNR2A,pMTOR,high=>high,pNR2A high => pMTOR high,HH,pNR2A,pMTOR,pNR2A high => pMTOR high,3.034031973020141,0.044117647058823525,5.6103707546143746e-05,52,16,2,1,33,0.6527373194694519
pCREB,JNK,high=>high,pCREB high => JNK high,HH,pCREB,JNK,pCREB high => JNK high,3.016620625799671,0.0,5.175971986705689e-05,60,14,7,0,39,0.6588008403778076
ARC,pS6,equivalent,ARC equivalent pS6,EQ,ARC,pS6,ARC equivalent pS6,3.826756824859684,0.0,4.8964605744091814e-08,59,27,0,0,32,1.0
pBRAF,pMEK,equivalent,pBRAF equivalent pMEK,EQ,pBRAF,pMEK,pBRAF equivalent pMEK,3.509385911193611,0.0,9.417081223112158e-07,57,18,0,0,39,0.9534300565719604
DYRK1A,ITSN1,equivalent,DYRK1A equivalent ITSN1,EQ,DYRK1A,ITSN1,DYRK1A equivalent ITSN1,3.464101615137755,0.0,1.277022799435819e-06,54,36,0,0,18,0.9636210203170776
pAKT,pMEK,equivalent,pAKT equivalent pMEK,EQ,pAKT,pMEK,pAKT equivalent pMEK,3.4020690871988584,0.037698412698412696,3.6739780803511536e-06,56,20,1,0,35,0.9610964059829712
ARC,SNCA,equivalent,ARC equivalent SNCA,EQ,ARC,SNCA,ARC equivalent SNCA,3.3912252482762946,0.037241379310344824,3.7316502055368375e-06,54,24,1,1,28,0.8245518803596497
SNCA,pS6,equivalent,SNCA equivalent pS6,EQ,SNCA,pS6,SNCA equivalent pS6,3.3912252482762946,0.037241379310344824,3.7316502055368375e-06,54,24,1,1,28,0.8245518803596497
pAKT,pBRAF,equivalent,pAKT equivalent pBRAF,EQ,pAKT,pBRAF,pAKT equivalent pBRAF,3.382080172853558,0.03809523809523809,4.186013385015064e-06,55,20,1,0,34,0.9451781511306763
JNK,MEK,equivalent,JNK equivalent MEK,EQ,JNK,MEK,JNK equivalent MEK,3.334769805424718,0.0,4.345970627348357e-06,58,15,0,0,43,0.8404563069343567
DYRK1A,pERK,equivalent,DYRK1A equivalent pERK,EQ,DYRK1A,pERK,DYRK1A equivalent pERK,3.259887890624623,0.04060150375939849,1.0548489748246097e-05,53,34,1,0,18,0.9498762488365173
pBRAF,CREB,equivalent,pBRAF equivalent CREB,EQ,pBRAF,CREB,pBRAF equivalent CREB,3.2429574454637518,0.04093567251461988,1.2865208911830004e-05,55,17,0,1,37,0.8474997878074646
pMEK,CREB,equivalent,pMEK equivalent CREB,EQ,pMEK,CREB,pMEK equivalent CREB,3.197688240594072,0.04191176470588236,1.876470764138465e-05,56,16,0,1,39,0.8504915237426758
pBRAF,RSK,equivalent,pBRAF equivalent RSK,EQ,pBRAF,RSK,pBRAF equivalent RSK,3.1501984491994315,0.042232277526395176,2.6790050236599337e-05,56,16,1,1,38,0.805466890335083
pAKT,CREB,equivalent,pAKT equivalent CREB,EQ,pAKT,CREB,pAKT equivalent CREB,3.147219195119958,0.07619047619047618,2.8072079054525955e-05,54,19,2,0,33,0.8013495802879333
pMEK,RSK,equivalent,pMEK equivalent RSK,EQ,pMEK,RSK,pMEK equivalent RSK,3.135377786541838,0.04256965944272446,2.9116981732204035e-05,55,16,1,1,37,0.8142586946487427
DYRK1A,BRAF,equivalent,DYRK1A equivalent BRAF,EQ,DYRK1A,BRAF,DYRK1A equivalent BRAF,3.112278025788172,0.0,2.1613910760640663e-05,51,38,0,0,13,0.9564465880393982
JNK,RSK,equivalent,JNK equivalent RSK,EQ,JNK,RSK,JNK equivalent RSK,3.0826985423538096,0.07828282828282829,5.3252497492640736e-05,60,16,0,2,42,0.7375338077545166
pMEK,MEK,equivalent,pMEK equivalent MEK,EQ,pMEK,MEK,pMEK equivalent MEK,3.0574621908918096,0.044407894736842105,4.997736260701608e-05,54,15,1,1,37,0.8384663462638855
CAMKII,RSK,equivalent,CAMKII equivalent RSK,EQ,CAMKII,RSK,CAMKII equivalent RSK,3.0574621908918096,0.044407894736842105,4.997736260701608e-05,54,15,1,1,37,0.8533466458320618
CREB,RSK,equivalent,CREB equivalent RSK,EQ,CREB,RSK,CREB equivalent RSK,3.05085107923876,0.07827260458839405,6.14159259296017e-05,57,17,2,1,37,0.8533894419670105
pERK,SOD1,opposite,pERK opposite SOD1,OP,pERK,SOD1,pERK opposite SOD1,3.3796129402242197,0.06828703703703703,5.1393171059133935e-06,57,2,30,25,0,-0.7424378991127014
SOD1,CaNA,opposite,SOD1 opposite CaNA,OP,SOD1,CaNA,SOD1 opposite CaNA,3.2541882590968614,0.039968652037617555,1.027279688197761e-05,51,1,28,21,1,-0.6464513540267944
