gene,threshold,margin,step_r2,n_obs,frac_low,frac_intermediate,frac_high,passes_dynamic_range,cluster,degree,n_EQ,n_OP,n_HH,n_HL,n_LH,hh_out,hh_in,mean_Control,frac_high_Control,mean_Ts65Dn,frac_high_Ts65Dn,delta,p_value,q_value
P38,-1.33114,0.06518250899999996,0.6420289891464593,72,0.375,0.1527777777777778,0.4722222222222222,True,C26,1,0,0,0,0,1,0,0,-1.2412484210526316,0.5526315789473685,-1.3647302941176471,0.38235294117647056,-0.12348187306501557,0.050343977311677966,0.2795414256604861
pMTOR,-0.474835,0.04698174075,0.43888409212492185,72,0.2777777777777778,0.16666666666666663,0.5555555555555556,True,C27,1,0,0,1,0,0,0,1,-0.3697255263157895,0.6842105263157895,-0.4779129411764707,0.4117647058823529,-0.10818741486068123,0.12091123843200105,0.46550826796320405
DSCR1,-0.87445,0.042571005750000016,0.4888381967574752,72,0.2361111111111111,0.11111111111111116,0.6527777777777778,True,C28,0,0,0,0,0,0,0,0,-0.7963405263157894,0.631578947368421,-0.7971864705882354,0.6764705882352942,-0.0008459442724459976,0.531299259986203,0.8133671042148167
AMPKA,-1.357265,0.037480127999999995,0.6065037295080997,72,0.7222222222222222,0.09722222222222221,0.18055555555555555,True,C29,0,0,0,0,0,0,0,0,-1.4142915789473685,0.21052631578947367,-1.5121526470588234,0.14705882352941177,-0.0978610681114549,0.024429771215977253,0.19208863459648723
NR2B,-0.914595,0.04045088775000001,0.4984034136681049,72,0.2638888888888889,0.08333333333333337,0.6527777777777778,True,C30,1,0,0,1,0,0,0,1,-0.7948281578947367,0.7894736842105263,-0.8950729411764704,0.5,-0.1002447832817337,0.025897675477962966,0.19208863459648723
pNUMB,-1.500135,0.047982495750000034,0.6643844915910464,72,0.4583333333333333,0.125,0.4166666666666667,True,C31,1,0,0,1,0,0,0,1,-1.5012197368421056,0.39473684210526316,-1.5136032352941178,0.4411764705882353,-0.012383498452012143,0.9236178364914174,0.974227033011495
RAPTOR,-1.66293,0.05286210300000003,0.6728117023629695,72,0.4722222222222222,0.18055555555555558,0.3472222222222222,True,C32,1,0,0,1,0,0,0,1,-1.6573913157894737,0.3684210526315789,-1.7104394117647057,0.3235294117647059,-0.05304809597523197,0.19652106785674572,0.5102262591938473
TIAM1,-1.2128,0.047306059500000004,0.6665616650720374,72,0.5694444444444444,0.16666666666666663,0.2638888888888889,True,C33,1,0,0,1,0,0,1,0,-1.3025139473684209,0.21052631578947367,-1.241163235294118,0.3235294117647059,0.06135071207430287,0.2167827768255226,0.5102262591938473
pP70S6,-1.65448,0.11796492225,0.6624139700371715,72,0.25,0.09722222222222221,0.6527777777777778,True,C34,0,0,0,0,0,0,0,0,-1.5278026315789477,0.6052631578947368,-1.3735117647058825,0.7058823529411765,0.15429086687306515,0.19652106785674572,0.5102262591938473
NUMB,-2.44366,0.03827331900000005,0.6802802266780607,72,0.5277777777777778,0.18055555555555558,0.2916666666666667,True,C35,0,0,0,0,0,0,0,0,-2.508167105263158,0.23684210526315788,-2.455788529411765,0.35294117647058826,0.05237857585139283,0.20045824904981469,0.5102262591938473
P70S6,-0.135495,0.0491741355,0.710841152560715,72,0.3194444444444444,0.18055555555555558,0.5,True,C36,0,0,0,0,0,0,0,0,-0.11387526315789473,0.5,-0.1031388235294118,0.5,0.010736439628482933,0.588210934100682,0.8317414835412049
pGSK3B,-2.66448,0.034362961500000025,0.6097612316380094,72,0.3611111111111111,0.20833333333333337,0.4305555555555556,True,C37,0,0,0,0,0,0,0,0,-2.666823684210527,0.3157894736842105,-2.616699705882353,0.5588235294117647,0.050123978328173724,0.05445612188191288,0.2795414256604861
pPKCG,0.51487,0.13010556299999998,0.6528973036797687,72,0.2361111111111111,0.19444444444444442,0.5694444444444444,True,C38,0,0,0,0,0,0,0,0,0.5579747368421053,0.47368421052631576,0.8172288235294117,0.6764705882352942,0.25925408668730643,0.025897675477962966,0.19208863459648723
CDK5,-1.824045,0.03225210974999998,0.6654115573807697,72,0.2638888888888889,0.09722222222222221,0.6388888888888888,True,C39,0,0,0,0,0,0,0,0,-1.801430789473684,0.6052631578947368,-1.7661532352941176,0.6764705882352942,0.03527755417956646,0.26172166631607285,0.5446640082793949
S6,-1.29765,0.13948671450000003,0.7755915881184756,72,0.4583333333333333,0.13888888888888884,0.4027777777777778,True,C40,0,0,0,0,0,0,0,0,-1.4467771052631577,0.2631578947368421,-1.125933823529412,0.5588235294117647,0.32084328173374566,0.0013316158918292422,0.025633605917712913
ADARB1,0.1875,0.1014950895,0.7028364585322305,72,0.3888888888888889,0.2222222222222222,0.3888888888888889,True,C41,0,0,0,0,0,0,0,0,0.23884657894736847,0.4473684210526316,0.1549735294117647,0.3235294117647059,-0.08387304953560376,0.3520728929491419,0.6304561106298587
AcetylH3K9,-2.38165,0.23892099,0.691760407567025,72,0.5416666666666666,0.1527777777777778,0.3055555555555556,True,C42,0,0,0,0,0,0,0,0,-2.8253007894736832,0.18421052631578946,-2.252322352941176,0.4411764705882353,0.572978436532507,0.008166870739729043,0.12363737880019846
RRP1,-2.602905,0.04315663274999994,0.6797510026867051,72,0.4305555555555556,0.1527777777777778,0.4166666666666667,True,C43,0,0,0,0,0,0,0,0,-2.619638947368421,0.3684210526315789,-2.5834644117647056,0.47058823529411764,0.03617453560371553,0.30467392938255655,0.5721925015233379
BAX,-2.478435,0.029042280749999982,0.6680423748404289,72,0.4166666666666667,0.2222222222222222,0.3611111111111111,True,C44,0,0,0,0,0,0,0,0,-2.495385,0.2894736842105263,-2.4798135294117647,0.4411764705882353,0.015571470588235492,0.43307540627349184,0.724930571370845
ARC,-3.0660499999999997,0.050628936750000006,0.7545790571969122,72,0.375,0.18055555555555558,0.4444444444444444,True,C3,4,2,0,2,0,0,0,2,-3.0279623684210524,0.5526315789473685,-3.0765973529411754,0.3235294117647059,-0.04863498452012305,0.15038780172929211,0.48249419721481224
ERBB4,-2.67931,0.025897315499999872,0.6003218931624403,72,0.3611111111111111,0.25,0.3888888888888889,True,C45,2,0,0,2,0,0,2,0,-2.68670552631579,0.39473684210526316,-2.6784111764705876,0.38235294117647056,0.008294349845202387,0.9955000706051953,0.9955000706051953
nNOS,-2.5814399999999997,0.03492820274999994,0.6352517962013211,72,0.18055555555555555,0.08333333333333337,0.7361111111111112,True,C46,0,0,0,0,0,0,0,0,-2.481589736842105,0.6842105263157895,-2.473645588235295,0.7941176470588235,0.007944148606810142,0.739319892138907,0.9036132015031086
Tau,-2.13154,0.07315333725,0.6689601265905059,72,0.6944444444444444,0.08333333333333337,0.2222222222222222,True,C47,0,0,0,0,0,0,0,0,-2.430751052631579,0.13157894736842105,-2.176524117647059,0.3235294117647059,0.2542269349845201,0.0008586730070362274,0.02487639555798302
GFAP,-3.1036650000000003,0.028573408499999953,0.6184336566825055,72,0.2361111111111111,0.08333333333333337,0.6805555555555556,True,C48,0,0,0,0,0,0,0,0,-3.0647676315789463,0.631578947368421,-3.047506764705883,0.7352941176470589,0.017260866873063385,0.5387236664279955,0.8133671042148167
GluR3,-2.13026,0.04241533275000002,0.6785551975356308,72,0.6111111111111112,0.08333333333333337,0.3055555555555556,True,C49,0,0,0,0,0,0,0,0,-2.1356665789473688,0.42105263157894735,-2.2511585294117644,0.17647058823529413,-0.11549195046439564,0.009634081464950529,0.12363737880019846
GluR4,-2.959285,0.03908504249999993,0.731677913464801,72,0.625,0.06944444444444442,0.3055555555555556,True,C50,0,0,0,0,0,0,0,0,-3.0121823684210525,0.3157894736842105,-3.003006470588235,0.29411764705882354,0.009175897832817359,0.7223567155040282,0.9010760970103002
IL1B,-0.94384,0.052283888999999945,0.681569872466074,72,0.4166666666666667,0.13888888888888884,0.4444444444444444,True,C51,3,0,0,3,0,0,3,0,-0.9200789473684209,0.5263157894736842,-0.9641779411764704,0.35294117647058826,-0.04409899380804949,0.14721397969617997,0.48249419721481224
P3525,-1.80094,0.03191296500000002,0.6592928568765927,72,0.3472222222222222,0.19444444444444442,0.4583333333333333,True,C52,0,0,0,0,0,0,0,0,-1.8017597368421052,0.47368421052631576,-1.7709644117647063,0.4411764705882353,0.030795325077398905,0.46689442586017915,0.7454650145993041
pCASP9,0.64465,0.04196313975,0.6455320821417718,72,0.5,0.16666666666666663,0.3333333333333333,True,C53,0,0,0,0,0,0,0,0,0.6135302631578948,0.34210526315789475,0.6110626470588237,0.3235294117647059,-0.0024676160990710905,0.9236178364914174,0.974227033011495
PSD95,1.153525,0.036761066999999974,0.632765334133123,72,0.4027777777777778,0.18055555555555558,0.4166666666666667,True,C54,0,0,0,0,0,0,0,0,1.1474392105263156,0.42105263157894735,1.1539570588235293,0.4117647058823529,0.006517848297213691,0.9595178048513721,0.9943354013909996
SNCA,-2.6645399999999997,0.04738574924999999,0.7083776260235307,72,0.4305555555555556,0.11111111111111116,0.4583333333333333,True,C3,3,2,0,1,0,0,0,1,-2.637132105263158,0.5526315789473685,-2.6887514705882354,0.35294117647058826,-0.05161936532507738,0.27143159258166927,0.5500061218102246
Ubiquitin,0.279735,0.04280080875,0.676507572543078,72,0.3888888888888889,0.13888888888888884,0.4722222222222222,True,C55,0,0,0,0,0,0,0,0,0.28723710526315793,0.5263157894736842,0.3040044117647058,0.4117647058823529,0.01676730650154784,0.7909530829905921,0.9227785968223575
pGSK3B_Tyr216,-0.278655,0.03879408225,0.6202652433520619,72,0.2638888888888889,0.25,0.4861111111111111,True,C56,0,0,0,0,0,0,0,0,-0.2644242105263157,0.39473684210526316,-0.22478205882352947,0.5882352941176471,0.03964215170278623,0.2252947118518287,0.5102262591938473
SHH,-2.139615,0.038201042249999984,0.6798486269342339,72,0.4444444444444444,0.16666666666666663,0.3888888888888889,True,C57,0,0,0,0,0,0,0,0,-2.1509102631578947,0.42105263157894735,-2.154258235294118,0.35294117647058826,-0.0033479721362232873,0.9146642332191346,0.974227033011495
BAD,-2.691815,0.053621935499999863,0.6757256592367182,58,0.3620689655172414,0.24137931034482762,0.39655172413793105,True,C58,0,0,0,0,0,0,0,0,-2.6941644827586204,0.21052631578947367,-2.679571724137931,0.4411764705882353,0.014592758620689317,0.47438682747228444,0.7454650145993041
BCL2,-2.8435550000000003,0.04278042300000011,0.6485107151901948,53,0.6226415094339622,0.1132075471698113,0.2641509433962264,True,C59,0,0,0,0,0,0,0,0,-2.910449259259259,0.21052631578947367,-2.9270680769230775,0.17647058823529413,-0.016618817663818675,0.8240023455412959,0.9352178928280482
pS6,-3.0660499999999997,0.050628936750000006,0.7545790571969122,72,0.375,0.18055555555555558,0.4444444444444444,True,C3,4,2,0,2,0,0,0,2,-3.0279623684210524,0.5526315789473685,-3.0765973529411754,0.3235294117647059,-0.04863498452012305,0.15038780172929211,0.48249419721481224
pCFOS,-3.0105199999999996,0.03609019050000006,0.6734328924089138,67,0.2537313432835821,0.14925373134328357,0.5970149253731343,True,C60,0,0,0,0,0,0,0,0,-2.935450277777777,0.5789473684210527,-2.9750977419354845,0.5294117647058824,-0.03964746415770737,0.31745403400593575,0.5819990623442155
SYP,-1.1939250000000001,0.053140090500000035,0.7222154457645571,72,0.3611111111111111,0.18055555555555558,0.4583333333333333,True,C61,0,0,0,0,0,0,0,0,-1.1332913157894737,0.5263157894736842,-1.2343458823529412,0.38235294117647056,-0.10105456656346745,0.032556935022143435,0.20890699972542037
H3AcK18,-2.533145,0.10018113524999996,0.6278791003565538,60,0.5166666666666667,0.16666666666666663,0.31666666666666665,True,C62,0,0,0,0,0,0,0,0,-2.72134870967742,0.21052631578947367,-2.5405144827586206,0.3235294117647059,0.18083422691879925,0.13516066162620677,0.48249419721481224
EGR1,-2.463305,0.0490425547499999,0.6420312361192562,58,0.4827586206896552,0.15517241379310343,0.3620689655172414,True,C63,0,0,0,0,0,0,0,0,-2.432553333333333,0.34210526315789475,-2.533366071428571,0.23529411764705882,-0.10081273809523816,0.17830649294046375,0.5102262591938473
H3MeK4,-2.331615,0.0686332605000001,0.6296988858988473,54,0.4074074074074074,0.20370370370370372,0.3888888888888889,True,C64,0,0,0,0,0,0,0,0,-2.379114,0.18421052631578946,-2.2911772413793106,0.4117647058823529,0.08793675862068939,0.21165420474360186,0.5102262591938473
CaNA,0.34611499999999995,0.09653579249999998,0.6979768715448305,72,0.3888888888888889,0.20833333333333337,0.4027777777777778,True,C65,3,0,1,1,0,1,0,1,0.3619502631578947,0.39473684210526316,0.39550058823529416,0.4117647058823529,0.03355032507739947,0.6077926760077248,0.8317414835412049
